path,pixels,bytes
images/atlases/card_atlas.sprites/ironclad/rupture.tres,,234
images/atlases/card_atlas.sprites/ironclad/second_wind.tres,,234
images/atlases/card_atlas.sprites/ironclad/setup_strike.tres,,233
images/atlases/card_atlas.sprites/ironclad/shrug_it_off.tres,,233
images/atlases/card_atlas.sprites/ironclad/spite.tres,,234
images/atlases/card_atlas.sprites/ironclad/stampede.tres,,234
images/atlases/card_atlas.sprites/ironclad/stoke.tres,,234
images/atlases/card_atlas.sprites/ironclad/stomp.tres,,233
images/atlases/card_atlas.sprites/ironclad/stone_armor.tres,,233
images/atlases/card_atlas.sprites/ironclad/strike_ironclad.tres,,233
images/atlases/card_atlas.sprites/ironclad/sword_boomerang.tres,,234
images/atlases/card_atlas.sprites/ironclad/tank.tres,,233
images/atlases/card_atlas.sprites/ironclad/taunt.tres,,233
images/atlases/card_atlas.sprites/ironclad/tear_asunder.tres,,234
images/atlases/card_atlas.sprites/ironclad/thrash.tres,,234
images/atlases/card_atlas.sprites/ironclad/thunderclap.tres,,233
images/atlases/card_atlas.sprites/ironclad/tremble.tres,,233
images/atlases/card_atlas.sprites/ironclad/true_grit.tres,,233
images/atlases/card_atlas.sprites/ironclad/twin_strike.tres,,234
images/atlases/card_atlas.sprites/ironclad/unmovable.tres,,234
images/atlases/card_atlas.sprites/ironclad/unrelenting.tres,,234
images/atlases/card_atlas.sprites/ironclad/uppercut.tres,,234
images/atlases/card_atlas.sprites/ironclad/vicious.tres,,234
images/atlases/card_atlas.sprites/ironclad/whirlwind.tres,,234
images/atlases/relic_atlas.sprites/yummy_cookie_ironclad.tres,,259
images/atlases/relic_outline_atlas.sprites/yummy_cookie_ironclad.tres,,266
images/atlases/ui_atlas.sprites/card/energy_ironclad.tres,,230
images/atlases/ui_atlas.sprites/map/icons/map_marker_ironclad.tres,,256
images/packed/achievements/unlocked/character_skill_ironclad1.png,160x160,28275
images/packed/achievements/unlocked/character_skill_ironclad2.png,160x160,33160
images/packed/achievements/unlocked/ironclad_win.png,160x160,33962
images/packed/card_portraits/ironclad/aggression.png,1000x760,246542
images/packed/card_portraits/ironclad/anger.png,1000x760,377408
images/packed/card_portraits/ironclad/armaments.png,1000x760,320384
images/packed/card_portraits/ironclad/ashen_strike.png,1000x760,422173
images/packed/card_portraits/ironclad/barricade.png,1000x760,421684
images/packed/card_portraits/ironclad/bash.png,1000x760,312779
images/packed/card_portraits/ironclad/battle_trance.png,1000x760,417504
images/packed/card_portraits/ironclad/beta/cascade.png,668x508,64716
images/packed/card_portraits/ironclad/beta/colossus.png,1000x760,13798
images/packed/card_portraits/ironclad/beta/conflagration.png,668x508,13962
images/packed/card_portraits/ironclad/beta/crimson_mantle.png,668x508,9473
images/packed/card_portraits/ironclad/beta/demonic_shield.png,668x508,57645
images/packed/card_portraits/ironclad/beta/drum_of_battle.png,1000x760,67325
images/packed/card_portraits/ironclad/beta/fight_me.png,668x508,17058
images/packed/card_portraits/ironclad/beta/juggling.png,1000x760,42436
images/packed/card_portraits/ironclad/beta/not_yet.png,1000x760,498268
images/packed/card_portraits/ironclad/beta/pillage.png,668x508,41163
images/packed/card_portraits/ironclad/beta/spite.png,668x508,220529
images/packed/card_portraits/ironclad/beta/tank.png,668x508,59579
images/packed/card_portraits/ironclad/beta/unmovable.png,668x508,11733
images/packed/card_portraits/ironclad/beta/vicious.png,668x508,15887
images/packed/card_portraits/ironclad/blood_wall.png,1000x760,329595
images/packed/card_portraits/ironclad/bloodletting.png,1000x760,237348
images/packed/card_portraits/ironclad/bludgeon.png,1000x760,324153
images/packed/card_portraits/ironclad/body_slam.png,1000x760,427595
images/packed/card_portraits/ironclad/brand.png,1000x760,595487
images/packed/card_portraits/ironclad/break.png,606x852,318676
images/packed/card_portraits/ironclad/breakthrough.png,1000x760,524213
images/packed/card_portraits/ironclad/bully.png,1000x760,342791
images/packed/card_portraits/ironclad/burning_pact.png,1000x760,366518
images/packed/card_portraits/ironclad/cascade.png,1000x760,245414
images/packed/card_portraits/ironclad/cinder.png,1000x760,503133
images/packed/card_portraits/ironclad/colossus.png,1000x760,311880
images/packed/card_portraits/ironclad/conflagration.png,1000x760,448614
images/packed/card_portraits/ironclad/corruption.png,606x852,176929
images/packed/card_portraits/ironclad/crimson_mantle.png,1000x760,441428
images/packed/card_portraits/ironclad/cruelty.png,1000x760,440659
images/packed/card_portraits/ironclad/dark_embrace.png,1000x760,299228
